PRICE,AREA
40 L,891
75 L,1027
85 L,1358
38 L,832
95 L,1200
52.5 L,1081
1.3 Cr,1705
23.5 L,511
93 L,1495
71 L,1250
53 L,1150
37 L,900
42.5 L,831
37.14 L,1004
85 L,1085
55 L,1100
92 L,1940
42 L,910
82 L,2085
45.5 L,1039
39.2 L,910
11.5 L,402
35 L,1225
45 L,890
1.65 Cr,1832
1.23 Cr,1364
93.42 L,1038
52 L,930
2.46 Cr,2465
1.52 Cr,1510
1.4 Cr,1300
1.3 Cr,2210
1.18 Cr,1310
1.04 Cr,1150
1.1 Cr,1824
74 L,1287
54.91 L,955
90 L,1200
10.5 Cr,3927
79.5 L,2085
32.4 L,887
1.48 Cr,1925
45 L,941
1.1 Cr,2310
76 L,1035
62.5 L,1153
14.38 L,423
28.67 L,831
6 Cr,3528
3.6 Cr,2371
85 L,1150
1.1 Cr,1436
1.05 Cr,1261
59 L,1101
62 L,1236
2.05 Cr,2155
1.45 Cr,1784
45 L,785
2.4 Cr,2605
24.5 L,1040
1.35 Cr,2380
31 L,672
42 L,1018
39 L,1018
38.5 L,1100
87 L,1229
38.85 L,925
31 L,970
27.5 L,870
28 L,916
1.35 Cr,1563
4.25 Cr,3029
27.9 L,750
1.45 Cr,2211
1.35 Cr,1786
37.59 L,895
38.98 L,928
54 L,813
58 L,983
1.63 Cr,1527
57 L,922
32.11 L,892
67.14 L,1033
63.8 L,1276
33 L,722
40 L,1600
35 L,722
70 L,1036
55 L,1000
1.04 Cr,1350
2.05 Cr,1882
1.25 Cr,1476
39 L,980
1.35 Cr,1945
99 L,1495
46 L,1150
63 L,895
1.07 Cr,1875
1.1 Cr,1875
1.3 Cr,1091
1.1 Cr,1741
1.3 Cr,1107
90 L,1356
20.44 L,584
17.5 L,505
31.2 L,705
22 L,610
72 L,1162
44 L,1295
1.05 Cr,1495
35 L,887
65 L,1700
33.33 L,950
83 L,1464
44.75 L,1039
19 L,720
34 L,850
65.04 L,1084
54 L,1102
45.03 L,919
51.44 L,1286
32.16 L,804
31.84 L,796
45.27 L,1006
45 L,1000
34.03 L,830
34.15 L,833
62.16 L,1110
49.5 L,900
46.75 L,850
1.78 Cr,2460
4.5 Cr,3600
